                                             Query       QTime	numFound	  minQTime	  maxQTime	#invocations	return consistent
            citations(bibcode:1982JChPh..76..637S)	7	438	7	8	2	      True
            citations(bibcode:1998Natur.391..667E)	7	1145	7	7	2	      True
            citations(bibcode:2002Natur.419..594S)	7	361	7	8	2	      True
            citations(bibcode:1974ITAC...19..716A)	7	620	7	7	2	      True
            citations(bibcode:1986JGR....91.4673M)	7	784	7	8	2	      True
            citations(bibcode:2005Natur.438..201Z)	7	1394	7	7	2	      True
            citations(bibcode:1981ApOpt..20..211K)	7	296	7	8	2	      True
            citations(bibcode:2005NuPhA.757..184P)	7	610	7	7	2	      True
            citations(bibcode:1929PhRv...33..730M)	7	 20	7	8	2	      True
            citations(bibcode:2000Sci...287.1019D)	7	2122	7	8	2	      True
            citations(bibcode:1997ESASP1200.....P)	7	1600	7	8	2	      True
            citations(bibcode:2012EPJC...72.1971A)	7	 48	7	7	2	      True
            citations(bibcode:2006Sci...314.1757B)	7	156	7	8	2	      True
            citations(bibcode:2003Natur.424..824B)	7	947	7	8	2	      True
            citations(bibcode:2000PhRvL..85.3966P)	7	1662	7	8	2	      True
            citations(bibcode:1995Sci...269..676H)	7	1198	7	8	2	      True
            citations(bibcode:1998Natur.393..440W)	7	1892	7	8	2	      True
            citations(bibcode:2001Natur.410...63N)	7	1903	7	8	2	      True
            citations(bibcode:1993gr.qc....10026T)	7		0	7	7	2	      True
            citations(bibcode:1984PhRvL..53.1951S)	7	1982	7	8	2	      True
            citations(bibcode:1998ARA&A..36..189K)	7	2167	7	8	2	      True
            citations(bibcode:1992A&AS...96..269S)	7	2130	7	7	2	      True
            citations(bibcode:1972PhRvD...6.3368B)	7	195	7	7	2	      True
            citations(bibcode:2003JHyMe...4.1147A)	7	326	7	8	2	      True
            citations(bibcode:1916ZPhy...17..557S)	7	174	7	7	2	      True
            citations(bibcode:1999IJTP...38.1113M)	7	680	7	7	2	      True
            citations(bibcode:2000PhRvL..84.4184S)	7	1094	7	7	2	      True
            citations(bibcode:2004Natur.430..431E)	7	430	7	7	2	      True
            citations(bibcode:1957qmot.book.....B)	7	1966	7	8	2	      True
            citations(bibcode:1981SSCom..39..625R)	7	450	7	7	2	      True
            citations(bibcode:1980stph.book.....L)	7	1753	7	8	2	      True
            citations(bibcode:1992PhRvL..69.2881B)	7	1206	7	7	2	      True
            citations(bibcode:1975JPhF....5..965E)	7	1698	7	7	2	      True
            citations(bibcode:1959RSPSA.253..358R)	7	316	7	8	2	      True
            citations(bibcode:2005PhRvL..95n6802K)	7	205	7	8	2	      True
