query numFound  QTime
id:[2000000 TO 2000900] 2056  63
id:[2000000 TO 2002700] 7891  15
id:[2000000 TO 2005400] 16303 16
id:[2000000 TO 2009000] 25261 76
id:[2000000 TO 2013500] 38194 33
id:[2000000 TO 2018900] 55987 53
id:[2000000 TO 2025200] 64639 62
id:[2000000 TO 2032400] 70073 67
id:[2000000 TO 2040500] 76004 76
id:[2000000 TO 2049500] 84206 89
id:[2000000 TO 2059400] 94387 104
id:[2000000 TO 2070200] 104115  721
id:[2000000 TO 2081900] 113238  134
id:[2000000 TO 2094500] 132880  166
id:[2000000 TO 2108000] 157037  210
id:[2000000 TO 2122400] 177492  263
id:[2000000 TO 2137700] 194773  315
id:[2000000 TO 2153900] 205739  352
id:[2000000 TO 2171000] 213900  376
id:[2000000 TO 2189000] 225406  416
id:[2000000 TO 2207900] 243603  486
id:[2000000 TO 2227700] 255273  553
id:[2000000 TO 2248400] 277648  618
id:[2000000 TO 2270000] 292956  681
id:[2000000 TO 2292500] 301930  713
id:[2000000 TO 2315900] 322487  822
id:[2000000 TO 2340200] 330900  865
id:[2000000 TO 2365400] 350198  968
id:[2000000 TO 2391500] 363365  1043
id:[2000000 TO 2418500] 375794  1115
id:[2000000 TO 2446400] 389010  1174
id:[2000000 TO 2475200] 407759  1268
id:[2000000 TO 2504900] 429143  1394
id:[2000000 TO 2535500] 443485  1494
id:[2000000 TO 2567000] 464203  2567
id:[2000000 TO 2599400] 483521  1787
id:[2000000 TO 2632700] 499547  1883
id:[2000000 TO 2666900] 512389  1982
id:[2000000 TO 2702000] 531877  2108
id:[2000000 TO 2738000] 560236  2360
id:[2000000 TO 2774900] 580046  2538
id:[2000000 TO 2812700] 597408  2704
id:[2000000 TO 2851400] 625547  2936
id:[2000000 TO 2891000] 647696  3974
id:[2000000 TO 2931500] 659915  3295
id:[2000000 TO 2972900] 686080  3612
id:[2000000 TO 3015200] 712378  3866
id:[2000000 TO 3058400] 727016  4090
id:[2000000 TO 3102500] 751026  4266
id:[2000000 TO 3147500] 778198  5319
id:[2000000 TO 3193400] 795568  4709
id:[2000000 TO 3240200] 817671  5051
id:[2000000 TO 3287900] 843559  5295
id:[2000000 TO 3336500] 863461  5911
id:[2000000 TO 3386000] 890024  6029
id:[2000000 TO 3436400] 921918  6312
id:[2000000 TO 3487700] 941672  6612
id:[2000000 TO 3539900] 962993  7391
id:[2000000 TO 3593000] 999819  7236
id:[2000000 TO 3647000] 1020827 7640
id:[2000000 TO 3701900] 1046060 8770
id:[2000000 TO 3757700] 1080015 8389
id:[2000000 TO 3814400] 1103257 8760
id:[2000000 TO 3872000] 1125761 9992
id:[2000000 TO 3930500] 1160928 9530
id:[2000000 TO 3989900] 1186993 9918
id:[2000000 TO 4050200] 1211216 11107
id:[2000000 TO 4111400] 1250018 11002
id:[2000000 TO 4173500] 1276736 12359
id:[2000000 TO 4236500] 1301945 11662
id:[2000000 TO 4300400] 1342264 26699
id:[2000000 TO 4365200] 1369771 13044
id:[2000000 TO 4430900] 1398699 14312
id:[2000000 TO 4497500] 1441171 14065
id:[2000000 TO 4565000] 1469994 15481
id:[2000000 TO 4633400] 1507178 15197
id:[2000000 TO 4702700] 1552421 16569
id:[2000000 TO 4772900] 1577045 17594
id:[2000000 TO 4844000] 1615740 17104
id:[2000000 TO 4916000] 1661387 18553
id:[2000000 TO 4988900] 1686855 19946
id:[2000000 TO 5062700] 1731532 19277
id:[2000000 TO 5137400] 1774017 21313
id:[2000000 TO 5213000] 1809642 22053
id:[2000000 TO 5289500] 1863877 23342
id:[2000000 TO 5366900] 1899690 24341
id:[2000000 TO 5445200] 1937726 24042
id:[2000000 TO 5524400] 1993752 24331
id:[2000000 TO 5604500] 2022519 25306
