                                             Query	     QTime		  numFound	  minQTime	  maxQTime	#invocations	return consistent
               references(id:[2000000 TO 4988900])	     19576		   1686855	     18959	     19888	         3	      True
               references(id:[2000000 TO 5137400])	     21785		   1774017	     21009	     23098	         3	      True
               references(id:[2000000 TO 5289500])	     22505		   1863877	     22286	     22825	         3	      True
               references(id:[2000000 TO 5213000])	     22600		   1809642	     21262	     23967	         3	      True
               references(id:[2000000 TO 5366900])	     23739		   1899690	     23230	     24333	         3	      True
               references(id:[2000000 TO 5445200])	     24693		   1937726	     24455	     24835	         3	      True
               references(id:[2000000 TO 5062700])	     24918		   1731532	     19700	     35295	         3	      True
               references(id:[2000000 TO 5524400])	     25057		   1993752	     24798	     25540	         3	      True
               references(id:[2000000 TO 5604500])	     25978		   2022519	     25616	     26475	         3	      True

